id,timestamp,selatan,timur,utara,barat,bawah,atas,co2_concentration,ch4_concentration,dht_temperature,dht_humidity,bmp_temperature,bmp_pressure,sht31_temperature,sht31_humidity,approx_altitude,absolute_humidity,createdAt,updatedAt
1664060,Sun Jan 14 2024 07:01:03 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.52,997.34,26.6,71.41,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664061,Sun Jan 14 2024 07:01:04 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.52,997.33,26.57,71.44,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664062,Sun Jan 14 2024 07:01:04 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.52,997.34,26.6,71.43,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664063,Sun Jan 14 2024 07:01:04 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.52,997.35,26.6,71.42,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664064,Sun Jan 14 2024 07:01:04 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.52,997.36,26.61,71.43,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664065,Sun Jan 14 2024 07:01:04 GMT+0700 (Western Indonesia Time),0,0,0,0,0.32,0,65414,78680,29,58.1,26.53,997.36,26.6,71.43,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664066,Sun Jan 14 2024 07:01:05 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.37,26.61,71.39,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664067,Sun Jan 14 2024 07:01:05 GMT+0700 (Western Indonesia Time),0,0,0,0,0,0,65414,78680,29,58.1,26.53,997.37,26.6,71.41,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664068,Sun Jan 14 2024 07:01:05 GMT+0700 (Western Indonesia Time),0.16,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.61,71.4,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664069,Sun Jan 14 2024 07:01:05 GMT+0700 (Western Indonesia Time),0,0,0,0,0,0,65414,78680,29,58.1,26.53,997.36,26.59,71.41,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
